problem,source,category,answer,solution
در یک عدد سه رقمی، رقم صدا از 5 بزرگ تر است، رقم دهگان از 4 بزرگ تر اما از 8 کوچک تر است و رقم یکان کوچک ترین عدد اول است. چند عدد سه رقمی این شرایط را ارضا می کند؟,MATH,Counting_and_Probability,12,
,MATH,Counting_and_Probability,380,
تعداد اعداد اول کمتر از 100 که رقم یکان آن‌ها برابر با 3 است چقدر است؟,MATH,Counting_and_Probability,7,
یک کمیتهٔ سنا شامل 5 دموکرات و 5 جمهوری‌خواه است. به چند روش قابل تشخیص می‌توانند به یک میز گرد بنشینند اگر همه اعضای هر حزب کنار هم بنشینند؟ (اگر میز چرخانده شود، به عنوان همان نشست‌ها محسوب می‌شود.),MATH,Counting_and_Probability,14400,
مقدار عبارت 82^3 + 3(82^2)(18) + 3(82)(18^2) + 18^3 چیست؟,MATH,Counting_and_Probability,1000000,
یک مدرسه تیم ریاضی دارد که 8 نفر از اعضا به طور خاص برای یک مسابقه انتخاب می‌شوند. به چند روش او می‌تواند این کار را انجام دهد؟,MATH,Counting_and_Probability,70,
"چند زیرمجموعه‌ی غیرتهی از مجموعهٔ { 1 , 2, 3, 4, 5, 6, 7, 8, 9, 10, 11 } وجود دارد که کلیهٔ اعضا آن اعداد اول باشند؟ (ما یک زیرمجموعه را از مجموعهٔ اعداد انتخاب می‌کنیم، بدون توجه به ترتیب. بنابراین $\{1,2,3\}$ با $\{3,1,2\}$ برابر است.)",MATH,Counting_and_Probability,31,
تعداد راه‌های ممکن برای ترتیب دادن حروف کلمه ELEVEN چقدر است؟,MATH,Counting_and_Probability,120,
چند روش مختلف برای قرار دادن 8 کره قابل تمییز به دو قفسه قابل تمییز وجود دارد؟,MATH,Counting_and_Probability,5,
چند جایگشت مختلف از 4 توپ بدون توجه به ترتیب موجود است؟,MATH,Counting_and_Probability,5,
اگر دو تاس شش‌رو بیندازیم، احتمال اینکه جمع دو عدد بین 3 تا 11 (شامل حدود) باشد چقدر است؟,MATH,Counting_and_Probability,17/18,
احتمال اینکه دو تاس فرد، یکی را بیرون آورند چقدر است؟,MATH,Counting_and_Probability,1/20,
چقدر ارزش امیدریاضی برد ما پس از یک بار پرتاب سکه است؟ نتیجه را با دقت یک رقم اعشار بیان کنید.,MATH,Counting_and_Probability,0.5,
اگر دو تاس 6‌رو بیندازیم، احتمال اینکه حداقل یکی از آن‌ها شماره 5 بیاید چقدر است؟,MATH,Counting_and_Probability,11/36,
در یک کلاس 28 نفری، معلم به طور تصادفی چهار نفر را برای شرکت در مسابقه جغرافیا انتخاب می‌کند. احتمال اینکه این گروه چهار نفره حداقل دو نفر از سه تن اول دانش‌آموزان برتر جغرافیا در کلاس را شامل شود، چقدر است؟,MATH,Counting_and_Probability,37/819,
به چند روش می‌توان 5 توپ متمایز را در 3 جعبه قرار داد؟,MATH,Counting_and_Probability,243,
تومورا به دنبال خرید 2 پیتزا با دو پیکان متفاوت است. او 8 نوع پیکان مختلف برای انتخاب دارد. چند پیتزا مختلف می‌تواند سفارش دهد؟,MATH,Counting_and_Probability,28,
در ردیفی از مثلث پاسکال که با 1 و سپس 10 آغاز می‌شود، عدد بعدی چیست؟,MATH,Counting_and_Probability,45,
چند عدد صحیح مثبت از 2008 کوچکتر ویژگی تعداد زوج از مقسوم‌علی‌ها را دارند؟,MATH,Counting_and_Probability,1963,
"تعداد روش‌های مختلف برای ترتیب حروف کلمه ""PARABOLA"" چیست؟",MATH,Counting_and_Probability,6720,
6 تاس حریف‌پذیر را پنج بار می‌اندازیم. احتمال اینکه حداکثر 4 بار نتیجه‌ی آن‌ها عدد 1 باشد چقدر است؟,MATH,Counting_and_Probability,6,
اینتیگر وزن دارای 42524 یک ترم عکس‌العمل است، زیرا به صورت معکوس هماناً هم می‌خواند. چند عدد صحیح از 200 تا 300 درونه‌ی مربعی دقیق است؟,MATH,Counting_and_Probability,3,
چه عددی را در 9! ضرب کنیم تا به 11! برسیم؟,MATH,Counting_and_Probability,110,
اگر تنها 5 توپ متمایز را در 3 جعبه می‌گذارم و می‌خواهم یک توپ ریاضی در هر دو طرف استوانه داشته باشم، به چند طریق می‌توانم این 6 توپ را در راهنمایی‌ها بچینم؟,MATH,Counting_and_Probability,48,
احتمال اینکه ماشین حاصل از پرتاب نرمال تاس شش‌رو سوال بالا، حداکثر 4 بار سکه را با صورت یک انسان می‌آورد چند است؟,MATH,Counting_and_Probability,1,
تعداد راه‌های مختلف قرار دادن 5 توپ متمایز در 3 جعبه متمایز چند است؟,MATH,Counting_and_Probability,243,
چند روش برای قرار دادن 4 توپ در 3 جعبه وجود دارد اگر دو توپ به هم نمی‌توانند تمیز شوند، دو توپ سبز و دو توپ قرمز و جعبه‌ها قابل تمییز هستند؟,MATH,Counting_and_Probability,36,
من چهار پرتقال یکسان دارم. چند روش برای تقسیم این پرتقال‌ها به حداکثر سه گروه وجود دارد؟ (با تعریف، هر گروه باید حداقل یک پرتقال داشته باشد.),MATH,Counting_and_Probability,4,
آدم دو تاس پیشرفته یک تاسی دارد. احتمال اینکه دقیقاً دو تاس یک یا دو بیاید چقدر است؟ نتیجه را به عنوان کسری ساده بیان کنید.,MATH,Counting_and_Probability,1/4,
آیا اعداد روی قطر سوم مثلث پاسکال اعداد مثلثی هستند، مقدار عدد مثلثی پنجاهم چیست؟,MATH,Counting_and_Probability,1275,
من 5 تا کره ی عدد 1 تا 5 رو دارم که شماره گذاری شدند. فرض کنید من دو کره متفاوت رو به صورت تصادفی انتخاب کنم. میانگین حاصل ضرب شماره گذاری شده ی این دو کره چند است؟,MATH,Counting_and_Probability,8.5,
سه کارت به صورت تصادفی از یک پک کارت استاندارد (شامل 13 کلوپ، 13 دیمان، 13 قلب و 13 برگ) انتخاب می شود. احتمال این که همه سه کارت کلوپ باشند چند است؟,MATH,Counting_and_Probability,11/850,
در ماله‌ی پاند 8 خودکار در یک دیوار قرار دارند. ماله باید 4 خودکار به سگ ها، 3 خودکار به گربه ها و یک خودکار به خروس ها اختصاص دهد. به چند روش مختلف ماله می تواند این تخصیص را انجام دهد؟,MATH,Counting_and_Probability,280,
اگر معروف ترین بازیکن بیسبال تیم سان فرانسیسکو میدجت ها، لری پاندز، در هر بار بازی 250 درصد فرصت به اخذ پایه دارد، احتمال این که او در دو بار بازی پایه اول را بدست آورد چند است؟,MATH,Counting_and_Probability,12/25,
چند پلاک خودرویی می توان ایجاد کرد اگر هر پلاک شامل دو حرف متفاوت (A تا Z) و دو عدد یک رقمی (0 تا 9) باشد؟,MATH,Counting_and_Probability,58500,
هنگامی که عددی بر 5 تقسیم می شود، باقی مانده 3 است. باقی مانده چه وقت هنگامی که دوبرابر آن بر 5 تقسیم می شود؟,MATH,Number_Theory,1,
تعداد مقسوم علیه های مشترک مثبت 840، 960 و 1200 چقدر است؟,MATH,Number_Theory,16,
بزرگترین مقسوم علیه ی مشترک 180 و 168 چیست؟,MATH,Number_Theory,12,
یک Penteria نوع خاص (خیالی) باکتری است به گونه ای که بدون توجه به جمعیت اصلی در یک مجموعه، جمعیت به میزان 5 هر دقیقه افزایش می یابد. علاوه بر این، در پایان هر ساعت، همه به جز اوّلین ها از بین می روند. اگر 137 تا Penteria بعد از 506 دقیقه زنده باشند، در ابتدا چند نفر بوده اند؟,MATH,Number_Theory,7,
باقیمانده ی عدد 1529 را به تقسیم 6 بدست آورید.,MATH,Number_Theory,5,
ضرب دو عدد زوج متوالی مثبت برابر با 288 است. عدد بزرگتر را بیابید.,MATH,Number_Theory,18,
